antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'another', 'great'})",frozenset({'way'}),0.13613101330603888,0.40736949846468784,0.1026100307062436,0.7537593984962406,1.850308875203083,1.0,0.04715440809027279,2.4067131818075276,0.5319668837385211,0.2327336041787579,0.584495565338216,0.5028219103033966
"frozenset({'another', 'great'})",frozenset({'well'}),0.13613101330603888,0.4936028659160696,0.10798362333674513,0.793233082706767,1.607026898505985,1.0,0.04078896502882573,2.449120684842282,0.4372571370813773,0.20696419813634132,0.5916901906104322,0.5059996414052238
"frozenset({'another', 'hours'})",frozenset({'take'}),0.12487205731832139,0.4728761514841351,0.10107471852610031,0.8094262295081968,1.7117087147824854,1.0,0.04202570063350616,2.7659832051155067,0.4751173291879488,0.20350334878928386,0.638464905300016,0.5115854091263927
"frozenset({'another', 'know'})",frozenset({'take'}),0.13689866939611053,0.4728761514841351,0.10388945752302968,0.7588785046728972,1.604814500141603,1.0,0.039153341595697985,2.186133790356494,0.43665211568541257,0.20536165907941328,0.5425714544959622,0.48928773718493346
"frozenset({'another', 'know'})",frozenset({'way'}),0.13689866939611053,0.40736949846468784,0.10133060388945753,0.7401869158878506,1.816991499553844,1.0,0.04556226159708087,2.280987901592749,0.520958173493009,0.22876949740034663,0.5615934660145596,0.4944653172404077
"frozenset({'another', 'know'})",frozenset({'well'}),0.13689866939611053,0.4936028659160696,0.10593654042988741,0.7738317757009346,1.5677213993982646,1.0,0.03836296487587072,2.2390286507016763,0.41957015859102764,0.20195121951219513,0.553377756159299,0.4942253746311827
"frozenset({'another', 'little'})",frozenset({'take'}),0.1555783009211873,0.4728761514841351,0.1202661207778915,0.7730263157894738,1.6347331396673506,1.0,0.04669685258383979,2.3224007238959854,0.45981689232753076,0.23665659617321247,0.5694110884006134,0.5136776600592391
"frozenset({'another', 'little'})",frozenset({'way'}),0.1555783009211873,0.40736949846468784,0.11591606960081884,0.7450657894736843,1.8289680309441947,1.0,0.05253821518256649,2.3246409350546444,0.5367502842999533,0.2593016599885518,0.5698260385419509,0.5148067640835758
"frozenset({'another', 'little'})",frozenset({'well'}),0.1555783009211873,0.4936028659160696,0.1253838280450358,0.805921052631579,1.6327317126408556,1.0,0.048589932835985075,2.6092326908731334,0.4589288806431664,0.2393746946751343,0.6167455652775192,0.5299693391721918
"frozenset({'another', 'local'})",frozenset({'well'}),0.12947799385875128,0.4936028659160696,0.10312180143295803,0.7964426877470355,1.6135293020816044,1.0,0.039211092591215135,2.487737377150182,0.4367960461150424,0.1983267716535433,0.598028309103292,0.5026796124064363
"frozenset({'another', 'located'})",frozenset({'take'}),0.14124872057318322,0.4728761514841351,0.10644831115660185,0.7536231884057971,1.593700985005333,1.0,0.03965515976989699,2.1395026792702754,0.4338039790959934,0.20967741935483875,0.5326016603348811,0.48936570675701113
